Date,Fecha_Objetivo,close,Close_Siguiente,Objetivo,Logistica_probabilidad,Logistica_clase,Base_mayoritaria_probabilidad,Base_mayoritaria_clase,PyTorch_MLP_probabilidad,PyTorch_MLP_clase,Keras_LSTM_probabilidad,Keras_LSTM_clase
2023-01-19,2023-01-20,12.89,13.75,1,0.5239381,1,0.0,0,0.49244004,0,0.45473275,0
2023-01-20,2023-01-23,13.75,13.579999923706056,0,0.5328684,1,0.0,0,0.5055345,1,0.45670274,0
2023-01-23,2023-01-24,13.58,13.529999732971191,0,0.48447528,0,0.0,0,0.49679175,0,0.4526433,0
2023-01-24,2023-01-25,13.53,14.050000190734863,1,0.48731408,0,0.0,0,0.49902534,0,0.45515233,0
2023-01-25,2023-01-26,14.05,13.899999618530272,0,0.5634618,1,0.0,0,0.50360256,1,0.4576688,0
2023-01-26,2023-01-27,13.9,13.239999771118164,0,0.46309522,0,0.0,0,0.49820355,0,0.45439228,0
2023-01-27,2023-01-30,13.24,12.630000114440918,0,0.48871744,0,0.0,0,0.48566258,0,0.45677775,0
2023-01-30,2023-01-31,12.63,13.399999618530272,1,0.5235466,1,0.0,0,0.46227065,0,0.46790296,0
2023-01-31,2023-02-01,13.4,13.170000076293944,0,0.5483499,1,0.0,0,0.48579088,0,0.47055918,0
2023-02-01,2023-02-02,13.17,13.130000114440918,0,0.44356874,0,0.0,0,0.4709491,0,0.46757632,0
2023-02-02,2023-02-03,13.13,12.329999923706056,0,0.48569682,0,0.0,0,0.47277427,0,0.4697057,0
2023-02-03,2023-02-06,12.33,12.720000267028809,1,0.45527107,0,0.0,0,0.45598468,0,0.47590175,0
2023-02-06,2023-02-07,12.72,12.779999732971191,1,0.457185,0,0.0,0,0.4659501,0,0.47907862,0
2023-02-07,2023-02-08,12.78,12.970000267028809,1,0.4852038,0,0.0,0,0.4632163,0,0.4764801,0
2023-02-08,2023-02-09,12.97,12.699999809265137,0,0.43662113,0,0.0,0,0.46761495,0,0.47443426,0
2023-02-09,2023-02-10,12.7,12.760000228881836,1,0.4649351,0,0.0,0,0.45986372,0,0.47370487,0
2023-02-10,2023-02-13,12.76,13.550000190734863,1,0.4764615,0,0.0,0,0.4646198,0,0.47293863,0
2023-02-13,2023-02-14,13.55,13.920000076293944,1,0.5059492,1,0.0,0,0.46065652,0,0.46230164,0
2023-02-14,2023-02-15,13.92,13.829999923706056,0,0.4947917,0,0.0,0,0.45705637,0,0.45145673,0
2023-02-15,2023-02-16,13.83,13.949999809265137,1,0.43078923,0,0.0,0,0.4568454,0,0.45103374,0
2023-02-16,2023-02-17,13.95,13.300000190734863,0,0.46867302,0,0.0,0,0.45851564,0,0.45009175,0
2023-02-17,2023-02-21,13.3,13.15999984741211,0,0.46541807,0,0.0,0,0.4546253,0,0.4607554,0
2023-02-21,2023-02-22,13.16,13.239999771118164,1,0.48761192,0,0.0,0,0.45750058,0,0.46678832,0
2023-02-22,2023-02-23,13.24,13.539999961853027,1,0.43202475,0,0.0,0,0.4552596,0,0.47070274,0
2023-02-23,2023-02-24,13.54,13.449999809265137,0,0.49300498,0,0.0,0,0.46145573,0,0.46945673,0
2023-02-24,2023-02-27,13.45,13.710000038146973,1,0.45022613,0,0.0,0,0.46331176,0,0.4675994,0
2023-02-27,2023-02-28,13.71,13.31999969482422,0,0.48305258,0,0.0,0,0.4622228,0,0.4668281,0
2023-02-28,2023-03-01,13.32,13.420000076293944,1,0.45673808,0,0.0,0,0.45675445,0,0.4670512,0
2023-03-01,2023-03-02,13.42,12.479999542236328,0,0.44143844,0,0.0,0,0.46400833,0,0.46701136,0
