termino,tfidf_medio,frecuencia
subsidiaries,0.004523232191442824,2
into,0.004510880057921232,2
trade,0.004438743945526686,2
recovered,0.0043956525803231835,2
beginning,0.0043956525803231835,2
effect,0.0043956525803231835,2
bad,0.0043956525803231835,2
devaluation,0.004380944971460497,2
months,0.004369360342836134,3
annual,0.004359429144109113,3
all,0.0042576614251383866,3
contribution,0.004235940439811544,3
computable,0.004206868153735211,3
tier,0.004206868153735211,3
allocated,0.004206868153735211,3
excess,0.004206868153735211,3
forward,0.004194928473409193,2
premium,0.004097377732116863,3
respectively,0.004085274206343612,2
acquisition,0.00408391335409602,3
directors,0.004067366744977751,2
consolidated,0.004056937519687102,1
earned,0.004054896675982777,3
badlar,0.004045610844014699,2
shareholder,0.00404421957031602,1
profits,0.00404421957031602,1
cer,0.004035619224894873,4
customers,0.004016682325374743,2
technological,0.00398204341089123,2
parent,0.003981296854947588,2
owners,0.003981296854947588,2
operations,0.003907709705088498,3
fija,0.00388671396773363,2
ahorro,0.00388671396773363,2
pre,0.003836262240900698,2
mortgage,0.003836262240900698,2
pledge,0.003836262240900698,2
purchase,0.003833108654494019,3
boxes,0.0038177895283983704,2
rental,0.0038177895283983704,2
research,0.0038160739703851487,3
buenos,0.0038082844041859294,2
aires,0.0038082844041859294,2
smes,0.0038014928775041007,1
large,0.0038014928775041007,1
group,0.0038014928775041007,1
facilitate,0.0038014928775041007,1
network,0.0038014928775041007,1
client,0.0038014928775041007,1
needs,0.0038014928775041007,1
member,0.0038014928775041007,1
adapted,0.0038014928775041007,1
began,0.0038014928775041007,1
reflected,0.0038014928775041007,1
commercial,0.0038014928775041007,1
marketing,0.0038014928775041007,1
may,0.003790805352508868,4
asg,0.0037744824928858927,1
web,0.0037744824928858927,1
inversores,0.0037744824928858927,1
mail,0.0037744824928858927,1
phone,0.0037744824928858927,1
contact,0.0037744824928858927,1
polices,0.0037638494464397325,1
fourth,0.0037638494464397325,1
consolidates,0.0037638494464397325,1
agencies,0.0037638494464397325,1
receivables,0.003751116300549303,2
their,0.003749645932743196,2
will,0.003666927208695468,4
representing,0.0036404511277426535,3
finance,0.0036126186261530063,3
repairment,0.0036070321513374686,2
maintenance,0.0036070321513374686,2
compensations,0.0036070321513374686,2
